X,Dam_Name,Continent,Lat,Long,Source,,Flag,Article_source,ORD_FLOW,storage,up_area_sk,dem,underground,sgr_dk_rav,row_max_tmin,row_max_q
10429,Pimpalkhuti Dam,Asia,20.354521,78.511647,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38256dams with location,catchment,and attribute information",7,NA,19.7271,298,168,63,29.8,336.9
10430,Gartek Dam,Asia,20.357416,77.544438,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38257dams with location,catchment,and attribute information",7,NA,11.8753,403,246,52,29.1,337
10431,Punegaon Dam,Asia,20.356363,73.836118,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38258dams with location,catchment,and attribute information",6,NA,73.0319,722,261,46,24.1,415.9
10432,Mohari Dam,Asia,20.350257,77.406801,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38259dams with location,catchment,and attribute information",7,NA,11.2714,427,155,41,28.8,342.7
10433,Chikhali Dam,Asia,20.346457,76.273066,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38260dams with location,catchment,and attribute information",7,NA,66.8265,638,278,30,27.7,258.2
10434,Walthan Dam,Asia,20.362717,74.985424,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38261dams with location,catchment,and attribute information",7,NA,42.2746,437,235,115,26.3,187.4
10435,Jamwadi Dam,Asia,20.365099,78.014152,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38262dams with location,catchment,and attribute information",7,NA,17.3059,348,156,59,29.5,345.8
10436,Chousala Dam,Asia,20.357149,77.557857,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38263dams with location,catchment,and attribute information",7,NA,15.9002,403,246,52,29.1,337
10437,Kangani Dam,Asia,20.369313,84.211384,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38264dams with location,catchment,and attribute information",7,NA,43.8775,662,435,82,24.9,403.6
10438,Hatgaon - II Dam,Asia,20.37859,74.839835,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38265dams with location,catchment,and attribute information",7,NA,58.5805,463,263,49,26.8,167
10439,Kardi Dam,Asia,20.381904,75.984176,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38266dams with location,catchment,and attribute information",7,NA,84.2863,615,254,29,27.2,214.2
10440,Pahuchibari Dam,Asia,20.387,73.571,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38267dams with location,catchment,and attribute information",7,NA,13.6838,576,379,169,26.4,1162
10441,Risewada Dam,Asia,20.386988,81.598787,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38268dams with location,catchment,and attribute information",7,NA,8.65273,399,83,39,27.1,393.2
10442,Haralkhed Dam,Asia,20.388097,76.479753,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38269dams with location,catchment,and attribute information",8,NA,15.696,564,226,90,28.5,316.8
10443,Hatgaon - I Dam,Asia,20.389148,74.841766,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38270dams with location,catchment,and attribute information",8,NA,84.3402,463,263,18,26.8,167
10444,Chargaon Dam,Asia,20.39,79.179,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38271dams with location,catchment,and attribute information",7,NA,53.7165,243,51,0,29.3,413.2
10445,Durug Dam,Asia,20.388071,78.351706,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38272dams with location,catchment,and attribute information",7,NA,19.7207,314,234,58,29.4,331.9
10446,Purna(Neopur) Dam,Asia,20.390602,75.323942,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38273dams with location,catchment,and attribute information",7,NA,103.433,706,320,24,25.2,206.5
10447,Zadi Dam,Asia,20.390249,74.420993,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38274dams with location,catchment,and attribute information",7,NA,16.0987,514,199,69,25.8,103.7
10448,Pimpriuhole Dam,Asia,20.390083,74.934517,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38275dams with location,catchment,and attribute information",7,NA,39.4508,443,306,60,27,185.7
10449,Khelna Dam,Asia,20.397398,75.65709,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38276dams with location,catchment,and attribute information",7,NA,168.953,635,169,29,26,218
10451,Patur Dam,Asia,20.394848,76.924058,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38277dams with location,catchment,and attribute information",7,NA,12.275,362,187,61,28.7,339.5
10452,Lower Indra Dam,Asia,20.392,82.646,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38278dams with location,catchment,and attribute information",6,NA,482.175,327,308,30,28,323.5
10453,Karanjalipada Dam,Asia,20.411832,73.732041,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38279dams with location,catchment,and attribute information",7,NA,7.04144,698,200,54,24.2,686.6
10454,Pimperkhed Dam,Asia,20.399317,75.024833,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38280dams with location,catchment,and attribute information",8,NA,13.4829,414,308,41,26.9,199.6
10455,Ghagara Dam,Asia,20.4,84.95,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38281dams with location,catchment,and attribute information",7,NA,5.43227,230,496,47,26.7,372.6
10456,Matla Dam,Asia,20.40055,76.104251,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38282dams with location,catchment,and attribute information",8,NA,12.4735,638,278,43,27,237.4
10457,Parsul Dam,Asia,20.403407,74.316145,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38283dams with location,catchment,and attribute information",7,NA,42.8599,676,370,181,25.5,112.2
10458,Kuntala Dam,Asia,20.404722,73.181389,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38284dams with location,catchment,and attribute information",6,NA,49.1018,120,175,40,28.5,1564.1
10459,Khairkheda Dam,Asia,20.405528,81.390001,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38285dams with location,catchment,and attribute information",7,NA,6.63935,381,91,32,27.1,427.8
10460,Markand Pimpri Dam,Asia,20.402112,73.922148,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38286dams with location,catchment,and attribute information",7,NA,6.63948,777,545,123,23.4,403
10461,Dattapur Dam,Asia,20.407733,78.322785,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38287dams with location,catchment,and attribute information",7,NA,11.67,329,209,62,29.3,331
10463,Unknown 81,Asia,20.399071,96.081848,CGIAR Greater Mekong,,unrecord,"Global Dam Tracker:A database of more than 38288dams with location,catchment,and attribute information",7,NA,7.84667,211,17,39,25.5,7.4
10464,Dumerbahal Dam,Asia,20.410727,83.158679,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38289dams with location,catchment,and attribute information",7,NA,84.5027,255,182,59,28.1,366.9
10466,Eklahare Dam,Asia,20.41102,73.754676,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38290dams with location,catchment,and attribute information",7,NA,7.6439,722,261,72,24.1,595.9
10467,Balaskumpa Dam,Asia,20.412112,84.317822,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38291dams with location,catchment,and attribute information",7,NA,13.6822,596,337,112,24.6,414.9
10468,Adan Dam,Asia,20.408585,77.561509,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38292dams with location,catchment,and attribute information",6,NA,800.528,414,209,17,28.7,325.3
10469,Wadod Dam,Asia,20.434505,75.375182,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38293dams with location,catchment,and attribute information",8,NA,0.201176,663,243,31,25.6,211.2
10470,Otur Dam,Asia,20.41449,73.992964,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38294dams with location,catchment,and attribute information",7,NA,40.8452,777,545,96,24.2,319.9
10471,Vishwamitri Dam,Asia,20.415062,76.769884,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38295dams with location,catchment,and attribute information",7,NA,111.303,423,211,46,28.9,321.3
10472,Mayana Dam,Asia,20.416873,81.281236,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38296dams with location,catchment,and attribute information",7,NA,14.284,394,80,41,27,449.5
10473,Utawali Dam,Asia,20.417936,76.691595,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38297dams with location,catchment,and attribute information",7,NA,174.737,483,263,53,29.3,292.4
10474,Kawala Dam,Asia,20.417596,76.389457,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38298dams with location,catchment,and attribute information",7,NA,32.1867,564,226,47,28.1,289.2
10475,Warshi Dam,Asia,20.417839,74.082761,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38299dams with location,catchment,and attribute information",7,NA,17.7043,664,371,137,24.4,263.5
10476,Ghoti Dam,Asia,20.418868,78.286509,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38300dams with location,catchment,and attribute information",7,NA,12.4745,329,209,77,29.4,324.7
10477,Morna (Akola) Dam,Asia,20.420943,76.997034,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38301dams with location,catchment,and attribute information",6,NA,173.732,390,232,65,29,320.2
10478,Lendi Nala,Asia,20.421339,76.678656,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38302dams with location,catchment,and attribute information",7,NA,40.2427,483,263,75,29.3,292.4
10479,Rajur Dam,Asia,20.402,78.398,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38303dams with location,catchment,and attribute information",7,NA,11.8708,314,234,54,29.7,328.2
10480,Chandai Dam,Asia,20.423003,79.225745,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38304dams with location,catchment,and attribute information",7,NA,53.4916,261,171,16,29.1,444.3
10481,Kyee Ni,Asia,20.425297,96.169943,CGIAR Greater Mekong,,unrecord,"Global Dam Tracker:A database of more than 38305dams with location,catchment,and attribute information",7,NA,10.2599,211,17,0,25.2,7.5
10482,Pilasalki Dam,Asia,20.424906,84.337798,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38306dams with location,catchment,and attribute information",6,NA,88.1315,596,337,56,25,418.4
10483,Waghla Dam,Asia,20.424333,75.12339,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38307dams with location,catchment,and attribute information",8,NA,19.5162,410,286,32,27.5,211
10484,Gawandgaon Dam,Asia,20.420023,76.779263,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38308dams with location,catchment,and attribute information",8,NA,11.2666,423,211,0,29.4,300.7
10485,Nam Nhon,Asia,20.427098,100.386185,CGIAR Greater Mekong,,unrecord,"Global Dam Tracker:A database of more than 38309dams with location,catchment,and attribute information",6,NA,118.847,761,448,132,24.1,218.5
10486,Pangrikesapur Dam,Asia,20.4309,76.128288,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38310dams with location,catchment,and attribute information",7,NA,13.0754,624,245,40,27.2,238
10487,Tuljapur Dam,Asia,20.443644,76.915619,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38311dams with location,catchment,and attribute information",7,NA,34.2039,362,187,61,29,317.8
10488,Masrul Dam,Asia,20.432,75.942,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38312dams with location,catchment,and attribute information",7,NA,78.2208,611,195,24,27.1,212.6
10489,Rameshwar Dam,Asia,20.435995,74.154203,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38313dams with location,catchment,and attribute information",7,NA,69.8118,664,371,84,25.4,178.8
10490,Shekapur Dam,Asia,20.454052,75.993764,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38314dams with location,catchment,and attribute information",7,NA,18.9055,615,254,49,27,219.4
10491,Unknown 54,Asia,20.441102,96.054439,CGIAR Greater Mekong,,unrecord,"Global Dam Tracker:A database of more than 38315dams with location,catchment,and attribute information",6,NA,90.3505,253,71,19,25.2,7.7
10492,Govapur Dam,Asia,20.438836,73.938622,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38316dams with location,catchment,and attribute information",7,NA,23.1333,777,545,120,23.9,367.6
10493,Nandkhed Dam,Asia,20.437502,77.26813,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38317dams with location,catchment,and attribute information",7,NA,12.875,373,124,66,29,330.4
